canonical_origin,etld1,enroll_url,cluster_size,snapshot_count,source
https://battle.net,battle.net,,1,0,community|community:passkeys.directory
https://bbn.music,bbn.music,,1,0,community
https://beget.com,beget.com,,1,0,community
https://berkeley.edu,berkeley.edu,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory|community:passkeys.2stable.com
https://bestbuy.com,bestbuy.com,,1,0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io
https://beyondidentity.com,beyondidentity.com,,1,0,community|community:enpass.io|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.directory
https://billgenerator.in,billgenerator.in,,1,0,community
https://binance.com,binance.com,,1,0,community|community:2fa.directory|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://bitbank.cc,bitbank.cc,,1,0,community|community:passkeyindex.io
https://bitfinex.com,bitfinex.com,,1,0,community|community:2fa.directory|community:hideez.com|community:passkeys.2fa.directory
https://bitfire.tv,bitfire.tv,,1,0,community
https://bitgo.com,bitgo.com,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory
https://bitwarden.com,bitwarden.com,,1,0,community|community:2fa.directory|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.directory|community:passkeys.io
https://blender.org,blender.org,,1,0,community
https://blueocean.law,blueocean.law,,1,0,community|community:fidoalliance.org|community:passkeyindex.io
https://bmw.com,bmw.com,,1,0,community|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://bodonu.no,bodonu.no,,1,0,community
https://bolt.eu,bolt.eu,,1,0,community|community:hideez.com|community:keepersecurity.com|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.directory|community:passkeys.io
https://bondebladet.no,bondebladet.no,,1,0,community
https://bookmyname.com,bookmyname.com,,1,0,community|community:passkeys-directory.dashlane.com
https://boolers.co.uk,boolers.co.uk,,1,0,community
https://boursobank.com,boursobank.com,,1,0,community|community:passkeyindex.io|community:passkeys-directory.dashlane.com
https://boursorama.com,boursorama.com,,1,0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://braintreepayments.com,braintreepayments.com,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory
https://braunhousehold.com,braunhousehold.com,,1,0,community|community:passkeyindex.io|community:passkeys.2fa.directory|community:passkeys.2stable.com
https://breadfinancial.com,breadfinancial.com,,1,0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://bridgecrest.com,bridgecrest.com,,1,0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://britishairways.com,britishairways.com,,1,0,community|community:2fa.directory
https://brukerportal.no,brukerportal.no,,1,0,community
https://btcmap.org,btcmap.org,,1,0,community
https://bu.edu,bu.edu,,2,1,community|community:2fa.directory|community:passkeys.2fa.directory|community:passkeys.2stable.com|endpoints
https://bubbletea.dev,bubbletea.dev,,1,0,community
https://bumble.com,bumble.com,,1,0,community|community:passkeys.2fa.directory|community:passkeys.2stable.com
https://bygdeposten.no,bygdeposten.no,,1,0,community
https://byu.edu,byu.edu,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory
https://calpoly.edu,calpoly.edu,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory|community:passkeys.2stable.com
https://canadiantire.ca,canadiantire.ca,,1,0,community|community:passkeys.2fa.directory
https://canva-dev.com,canva-dev.com,,1,0,community
https://canva-staging.cn,canva-staging.cn,,1,0,community
https://canva.com,canva.com,https://www.canva.com/settings/login-and-security,2,1,community|community:keepersecurity.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.directory|endpoints
