canonical_origin,etld1,enroll_url,cluster_size,snapshot_count,source,crux_rank,crux_bucket,status,notes,adv_rp_id,adv_attestation,adv_uv,adv_resident_key,adv_require_resident_key,adv_authenticator_attachment,adv_algs,adv_attestation_formats,adv_timeout,adv_captured_at
https://facebook.com,facebook.com,,133.0,1.0,webauthn|webauthn-related,1000,top 1k,captured,recorded advertised WebAuthn params,accounts.meta.com,none,required,preferred,,not-specified,-7|-257|-8,,600000,2026-07-09T15:32:26.770002+00:00
https://canva.com,canva.com,https://www.canva.com/settings/login-and-security,2.0,1.0,community|community:keepersecurity.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.directory|endpoints,1000,top 1k,captured,"manually created in real Chrome, session captured",www.canva.com,not-specified,required,preferred,,not-specified,-7|-257,,,2026-07-09T15:39:22.407626+00:00
https://nintendo.com,nintendo.com,https://accounts.nintendo.com/passkey,2.0,1.0,community|community:enpass.io|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io|endpoints,1000,top 1k,captured,"manually created in real Chrome, session captured",accounts.nintendo.com,none,required,required,,platform,-7|-35|-36|-8,,300000,2026-07-09T15:41:49.606462+00:00
https://target.com,target.com,https://www.target.com/account/settings/signinsecurity,2.0,1.0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io|endpoints,1000,top 1k,captured,"manually created via browser, session captured",target.com,direct,required,not-specified,true,not-specified,-7|-35|-36|-257|-258|-259|-37|-38|-39,,30000,2026-07-08T11:55:50.188832+00:00
https://tiktok.com,tiktok.com,https://www.tiktok.com/ucenter_web/passkey_wizard?ug_source=others.pwdmanager&awedp_require_login=normal,2.0,1.0,community|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io|endpoints,1000,top 1k,failed,verification code not working,,,,,,,,,,
https://x.com,x.com,,2.0,1.0,community|community:2fa.directory|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io|webauthn|webauthn-related,1000,top 1k,captured,"manually created in real Chrome, session captured",x.com,none,preferred,not-specified,true,platform,-7|-257,,,2026-07-09T16:15:50.881837+00:00
https://vk.com,vk.com,,2.0,0.0,community|community:2fa.directory|community:enpass.io|community:keepersecurity.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,1000,top 1k,failed,app only,,,,,,,,,,
https://arca.live,arca.live,,1.0,0.0,community|community:enpass.io|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,1000,top 1k,failed,blocked too many requests,,,,,,,,,,
https://boursorama.com,boursorama.com,,1.0,0.0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,1000,top 1k,failed,banking app,,,,,,,,,,
https://classlink.com,classlink.com,,1.0,0.0,community|community:2fa.directory|community:passkeys.2fa.directory,1000,top 1k,failed,needs existing account,,,,,,,,,,
https://discord.com,discord.com,,1.0,0.0,community|community:2fa.directory|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,1000,top 1k,captured,"manually created in real Chrome, session captured",discord.com,none,preferred,discouraged,false,not-specified,-7|-257,,300000,2026-07-09T16:23:10.266605+00:00
https://github.com,github.com,,1.0,0.0,community|community:2fa.directory|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,1000,top 1k,captured,"manually created via browser, session captured",github.com,none,required,required,,not-specified,-7|-257,,60000,2026-07-09T16:28:33.881626+00:00
https://homedepot.com,homedepot.com,,1.0,0.0,community|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,1000,top 1k,failed,access denied-geo blocked,,,,,,,,,,
https://hubspot.com,hubspot.com,,1.0,0.0,community|community:keepersecurity.com|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.directory,1000,top 1k,failed,product demo,,,,,,,,,,
https://indeed.com,indeed.com,,1.0,0.0,community|community:passkeys.2stable.com|community:passkeys.directory,1000,top 1k,captured,"manually created in real Chrome, session captured",indeed.com,none,preferred,required,true,not-specified,-7|-8|-35|-36|-257|-258|-259,,300000,2026-07-09T16:31:06.033341+00:00
https://lowes.com,lowes.com,,1.0,0.0,community|community:keepersecurity.com|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,1000,top 1k,failed,geo-blocked,,,,,,,,,,
https://nikkei.com,nikkei.com,,1.0,0.0,community,1000,top 1k,captured,"manually created via browser, session captured",id.nikkei.com,not-specified,not-specified,required,true,not-specified,-7|-8|-257,,300000,2026-07-09T16:33:54.942399+00:00
https://onet.pl,onet.pl,,1.0,0.0,community|community:2fa.directory|community:enpass.io|community:passkeys.2fa.directory,1000,top 1k,failed,phone-gated,,,,,,,,,,
https://onlyfans.com,onlyfans.com,,1.0,0.0,community|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,1000,top 1k,captured,"manually created in real Chrome, session captured",onlyfans.com,none,preferred,preferred,false,not-specified,-7|-257,,,2026-07-09T16:39:49.510129+00:00
https://pixiv.net,pixiv.net,,1.0,0.0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,1000,top 1k,captured,"manually created in real Chrome, session captured",pixiv.net,none,required,required,true,platform,-8|-7|-257,,,2026-07-09T16:43:23.754008+00:00
https://microsoft.com,microsoft.com,,,,manually added,1000,top 1k,captured,"manually created in real Chrome, session captured",login.microsoft.com,direct,required,not-specified,true,not-specified,-7|-257,,600000,2026-07-09T16:45:45.973079+00:00
https://www.airbnb.com,airbnb.com,,150.0,1.0,webauthn|webauthn-related,5000,top 5k,captured,"manually created in real Chrome, session captured",airbnb.com,not-specified,required,required,true,not-specified,-7,,,2026-07-09T16:47:50.248030+00:00
https://ticketmaster.com,ticketmaster.com,,29.0,1.0,community|community:passkeys.2fa.directory|community:passkeys.directory|webauthn|webauthn-related,5000,top 5k,captured,"manually created in real Chrome, session captured",ticketmaster.com,none,required,required,true,platform,-7|-8|-35|-36|-257|-258|-259,,300000,2026-07-09T16:52:05.393762+00:00
https://www.yelp.com,yelp.com,,27.0,1.0,webauthn|webauthn-related,5000,top 5k,captured,"manually created in real Chrome, session captured",,,,,,,,,,
https://intuit.com,intuit.com,https://accounts.intuit.com/app/account-manager/security/passkey,5.0,1.0,community|community:passkeys-directory.dashlane.com|endpoints|webauthn|webauthn-related,5000,top 5k,failed,product based sitr,,,,,,,,,,
https://online.nomura.co.jp,nomura.co.jp,,5.0,1.0,webauthn|webauthn-related,5000,top 5k,failed,geo-blocked,,,,,,,,,,
https://www.gmx.net,gmx.net,,5.0,1.0,webauthn|webauthn-related,5000,top 5k,failed,manually recorded (real Chrome): failed,,,,,,,,,,
https://www.web.de,web.de,,5.0,1.0,webauthn|webauthn-related,5000,top 5k,failed,manually recorded (real Chrome): failed,,,,,,,,,,
