canonical_origin,etld1,enroll_url,cluster_size,snapshot_count,source,crux_rank,crux_bucket
https://homedepot.com,homedepot.com,,1.0,0.0,community|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,1000,top 1k
https://hubspot.com,hubspot.com,,1.0,0.0,community|community:keepersecurity.com|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.directory,1000,top 1k
https://id.me,id.me,,1.0,0.0,community|community:2fa.directory|community:hideez.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.directory,1000,top 1k
https://indeed.com,indeed.com,,1.0,0.0,community|community:passkeys.2stable.com|community:passkeys.directory,1000,top 1k
https://irs.gov,irs.gov,,1.0,0.0,community|community:2fa.directory|community:passkeys.2fa.directory,1000,top 1k
https://lowes.com,lowes.com,,1.0,0.0,community|community:keepersecurity.com|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,1000,top 1k
https://nikkei.com,nikkei.com,,1.0,0.0,community,1000,top 1k
https://onet.pl,onet.pl,,1.0,0.0,community|community:2fa.directory|community:enpass.io|community:passkeys.2fa.directory,1000,top 1k
https://onlyfans.com,onlyfans.com,,1.0,0.0,community|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,1000,top 1k
https://pixiv.net,pixiv.net,,1.0,0.0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,1000,top 1k
https://roblox.com,roblox.com,,1.0,0.0,community|community:2fa.directory|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,1000,top 1k
https://samsung.com,samsung.com,,1.0,0.0,community|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys.com,1000,top 1k
https://telegram.org,telegram.org,,1.0,0.0,community|community:passkeys.directory,1000,top 1k
https://walmart.com,walmart.com,,1.0,0.0,community|community:fidoalliance.org|community:passkeyindex.io|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,1000,top 1k
https://whatsapp.com,whatsapp.com,,1.0,0.0,community|community:2fa.directory|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,1000,top 1k
https://wikipedia.org,wikipedia.org,,1.0,0.0,community|community:2fa.directory|community:passkeys.2fa.directory|community:passkeys.directory,1000,top 1k
https://wise.com,wise.com,,1.0,0.0,community|community:enpass.io|community:fidoalliance.org|community:passkeyindex.io|community:passkeys.2fa.directory|community:passkeys.directory,1000,top 1k
https://yahoo.com,yahoo.com,,1.0,0.0,community|community:2fa.directory|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,1000,top 1k
